name,location,price,capacity,rating,reviews,description
Atlanta Botanical Garden,"Atlanta, GA",$$$,151-200 Guests,4.7,21,"An urban oasis nestled in the heart of Midtown, this property offers lush lawns, verdant tropical foliage, and outdoor event spaces."
Monday Night Brewing: The Garage,Metro Atlanta,$$$,300+ Guests,4.9,14,"A charming and inviting private event space with high ceilings, natural light, and historic charm."
Factory Atlanta,"Atlanta, GA",$$$,300+ Guests,5.0,6,An industrial-meets-chic venue perfect for creative couples.
Ambient + Studio,"Atlanta, GA",$$$,251-300 Guests,4.4,9,A unique wedding venue built in 1910 with a historic and artistic atmosphere.
Park Tavern: The Piedmont Room & Piedmont Garden Tent,"Atlanta, GA",$$$,251-300 Guests,4.7,132,"Overlooks Piedmont Park, offering indoor and outdoor spaces with city skylines and seasonal colors."
Grana,"Atlanta, GA",$$$,151-200 Guests,5.0,1,A warm and inviting setting with authentic Southern Italian cuisine and three levels of event space.
Journeyman's Hall,"Atlanta, GA",$$$,151-200 Guests,5.0,3,A wedding venue located in South Downtown Atlanta with a talented culinary team.
Hyatt Regency Atlanta Perimeter at Villa Christina,"Atlanta, GA",$$$,300+ Guests,4.6,63,Surrounded by 83 acres of landscaped gardens with captivating natural views.
Ecco Buckhead,"Atlanta, GA",$$$,300+ Guests,0.0,0,An elegant restaurant venue in the heart of Buckhead neighborhood.
The Kimpton Shane,"Atlanta, GA",$$$,51-100 Guests,0.0,0,A boutique hotel with stunning architecture and stylish furnishings.
FORTH Hotel Atlanta,"Atlanta, GA",$$$$,201-250 Guests,0.0,0,A deluxe wedding venue in the Old Fourth Ward with an elegant ballroom and rooftop space.
Wahoo! Grill,"Decatur, GA",$$$,201-250 Guests,5.0,100,A full-service wedding venue with outstanding staff and a relaxing atmosphere.
The White Bull,"Decatur, GA",$$$,51-100 Guests,0.0,0,A restaurant wedding venue specializing in Italian farm-to-table cuisine.
Emory Conference Center Hotel,"Atlanta, GA",$$$,300+ Guests,4.8,41,An elegant venue with unique surroundings and convenient location.
Callanwolde Fine Arts Center,"Atlanta, GA",$$$,151-200 Guests,4.6,38,A unique wedding venue with a century-long legacy in Druid Hills.
The Wimbish House,"Atlanta, GA",$$$,201-250 Guests,4.9,85,A Victorian-era home in Midtown with nearly a century of wedding history.
Historic DeKalb Courthouse,"Decatur, GA",$$$,101-150 Guests,4.9,92,An elegant courthouse with white marble and 20-foot ceilings.
SCAD Ivy Hall,"Atlanta, GA",$$$,101-150 Guests,4.5,4,A historic wedding venue designed by renowned architect Gottfried L. Norrman.
The Westside Warehouse,"Atlanta, GA",$$$,201-250 Guests,5.0,37,A converted warehouse with cathedral ceilings in a creative district.
Renaissance Atlanta Midtown Hotel,Midtown Atlanta,$$$,300+ Guests,5.0,2,A hotel in the arts and music district with a prime location.
Wrecking Bar Brewpub,"Atlanta, GA",$$$,201-250 Guests,5.0,9,A historic mansion with Victorian-era architecture.
Grand Hyatt Atlanta in Buckhead,"Atlanta, GA",$$$,300+ Guests,5.0,4,An urban retreat with tenured staff for unforgettable events.
